sample_id,rho
0,0.6474209
1,0.9322341
2,0.7054942
3,0.80360514
4,0.6427994
5,0.7377692
6,0.6808911
7,0.7445429
8,0.74670166
9,0.64297134
10,0.9430172
11,0.753491
12,0.8035767
13,0.943907
14,0.823735
15,0.896434
16,0.8162454
17,0.67847425
18,0.91437835
19,0.75015914
20,0.87465256
21,0.8551313
22,0.8058844
23,0.7303122
24,0.88234776
25,0.82561475
26,0.6982528
27,0.9208457
28,0.6347743
29,0.8264935
30,0.87774646
31,0.7459249
32,0.72665495
33,0.73709023
34,0.9169398
35,0.7852717
36,0.93145114
37,0.8731158
38,0.8394037
39,0.85690653
40,0.60968155
41,0.88143426
42,0.77514744
43,0.89549613
44,0.7823062
45,0.8529456
46,0.75888246
47,0.6320863
48,0.72908145
49,0.6152066
50,0.92716277
51,0.9172101
52,0.8177241
53,0.69983625
54,0.6364293
55,0.81416476
56,0.74843156
57,0.6761186
58,0.8874229
59,0.6506681
60,0.93523914
61,0.8610011
62,0.8346196
63,0.8483719
64,0.8878995
65,0.6571066
66,0.9024129
67,0.6709855
68,0.94427085
69,0.64621764
70,0.8674971
71,0.8725852
72,0.77883184
73,0.6784709
74,0.78470725
75,0.8428829
76,0.91277254
77,0.7481299
78,0.8509754
79,0.65467376
80,0.62910515
81,0.89732295
82,0.9408891
83,0.9114394
84,0.6412087
85,0.79114234
86,0.7368571
87,0.7456452
88,0.7832065
89,0.932323
90,0.60818994
91,0.71214116
92,0.7238014
93,0.9470726
94,0.7392605
95,0.8548588
96,0.62216836
97,0.84369695
98,0.91608274
99,0.8673558
100,0.9003483
101,0.6172162
102,0.9127094
103,0.9334613
104,0.9418046
105,0.6032247
106,0.6852942
107,0.77049387
108,0.7584635
109,0.6605943
110,0.9013309
111,0.70186085
112,0.8859608
113,0.7999257
114,0.77429795
115,0.9243114
116,0.65160364
117,0.9325036
118,0.8655362
119,0.60467684
120,0.85580766
121,0.6312118
122,0.89982027
123,0.922899
124,0.64312935
125,0.8168571
126,0.7725042
127,0.92390794
128,0.69513124
129,0.6313983
130,0.7497703
131,0.8428302
132,0.87347716
133,0.9347767
134,0.6791537
135,0.6949448
136,0.68440086
137,0.81211174
138,0.6381589
139,0.8832401
140,0.71055275
141,0.8709013
142,0.6393744
143,0.8660795
144,0.7474462
145,0.8452748
146,0.81724304
147,0.8310304
148,0.653794
149,0.89251786
150,0.8705652
151,0.6604943
152,0.63547045
153,0.6767009
154,0.64159846
155,0.8035018
156,0.8617176
157,0.63071984
158,0.7621269
159,0.91068643
160,0.7071238
161,0.9489235
162,0.9211896
163,0.7912602
164,0.79969484
165,0.6781222
166,0.68801963
167,0.8225634
168,0.93488103
169,0.72055864
170,0.8463874
171,0.6375514
172,0.93527746
173,0.72453177
174,0.6821325
175,0.82145274
176,0.6695782
177,0.754047
178,0.88167566
179,0.8119344
180,0.88176936
181,0.7824034
182,0.6689534
183,0.70156896
184,0.7743394
185,0.8245921
186,0.6370981
187,0.63426673
